Origin,OriginCode,Destination,DestinationCode,Country,FLight_Path,Flight_Time,Departure Date,Return Date,Duration,Stops,Flight_Name,Img_URL,Price
Quetta,UET,Jeddah,JED,Pakistan - Saudi Arabia,UET-JED,1:20pm - 2:10am,5/10/2023,5/14/2023,14h 50m (2 stops),1h 55m in Karachi (KHI) � 6h 30m in Dubai (DXB),Multiple airlines � Emirates 2113 operated by flydubai,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,$720 
Quetta,UET,Dammam,DMM,Pakistan - Saudi Arabia,UET-DMM,1:20pm - 9:20pm,5/10/2023,5/14/2023,10h 0m (2 stops),1h 55m in Karachi (KHI) � 3h in Dubai (DXB),Multiple airlines � Emirates 2113 operated by flydubai,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,$762 
Quetta,UET,Dammam,DMM,Pakistan - Saudi Arabia,UET-DMM,1:20pm - 8:00am,5/10/2023,5/14/2023,20h 40m (2 stops),1h 55m in Karachi (KHI) � 13h 50m in Dubai (DXB),Multiple airlines � Emirates 2113 operated by flydubai,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,$762 
Quetta,UET,Dammam,DMM,Pakistan - Saudi Arabia,UET-DMM,1:20pm - 8:00am,5/10/2023,5/14/2023,20h 40m (2 stops),7h 50m in Karachi (KHI) � 7h 55m in Dubai (DXB),Multiple airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,$762 
Quetta,UET,Dubai,DXB,Pakistan - United Arab Emirates,UET-DXB,1:20pm - 3:15pm,5/10/2023,5/14/2023,26h 55m (1 stop),23h 15m in Karachi (KHI),Pakistan International Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/PK_sq.svg,$410 
Quetta,UET,Dubai,DXB,Pakistan - United Arab Emirates,UET-DXB,1:20pm - 11:45pm,5/10/2023,5/14/2023,11h 25m (1 stop),7h 50m in Karachi (KHI),Multiple airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,$508 
Quetta,UET,Dubai,DXB,Pakistan - United Arab Emirates,UET-DXB,1:20pm - 3:45am,5/10/2023,5/14/2023,15h 25m (1 stop),12h 5m in Karachi (KHI),Multiple airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,$508 
Quetta,UET,Abu Dhabi,AUH,Pakistan - United Arab Emirates,UET-AUH,1:20pm - 3:45am,5/10/2023,5/14/2023,15h 25m (2 stops),7h 50m in Karachi (KHI) � 1h 45m in Dubai (DXB),Flight + Bus,https://a.travel-assets.com/air/airlines/flight_plus_bus_logo_sq.svg,$526 
Quetta,UET,Abu Dhabi,AUH,Pakistan - United Arab Emirates,UET-AUH,1:20pm - 5:15am,5/10/2023,5/14/2023,16h 55m (2 stops),7h 50m in Karachi (KHI) � 3h 15m in Dubai (DXB),Flight + Bus,https://a.travel-assets.com/air/airlines/flight_plus_bus_logo_sq.svg,$526 
Quetta,UET,Abu Dhabi,AUH,Pakistan - United Arab Emirates,UET-AUH,1:20pm - 8:45am,5/10/2023,5/14/2023,20h 25m (2 stops),7h 50m in Karachi (KHI) � 6h 45m in Dubai (DXB),Flight + Bus,https://a.travel-assets.com/air/airlines/flight_plus_bus_logo_sq.svg,$526 
